concept:academicfieldconcernssubject	academic field concerns subject
concept:academicfieldsuchasacademicfield	academic field such as academic field
concept:academicprogramatuniversity	academic program at university
concept:acquired	acquired
concept:actorcanbethesameasathlete	actor can be the same as athlete
concept:actorsuchasactor	actor such as actor
concept:actorworkedwithdirector	actor worked with director
concept:agentactsinlocation	agent acts in location
concept:agentcollaborateswithagent	agent collaborates with agent
concept:agentcompeteswithagent	agent competes with agent
concept:agentcontributedtocreativework	agent contributed to creative work
concept:agentcontrols	agent controls
concept:agentcreated	agent created
concept:agentcreatedorganization	agent created organization
concept:agenthaswebsite	agent has website
concept:agentinvolvedwithitem	agent involved with item
concept:agentowns	agent owns
concept:agentparticipatedinevent	agent participated in event
concept:agentstudiesphysiologicalcondition	agent studies physiological condition
concept:agentworkedondrug	agent worked on drug
concept:ageofperson	age of person
concept:agriculturalproductcamefromcountry	agricultural product came from country
concept:agriculturalproductcomingfromvertebrate	agricultural product coming from vertebrate
concept:agriculturalproductcontainchemical	agricultural product contain chemical
concept:agriculturalproductcookedwithagriculturalproduct	agricultural product cooked with agricultural product
concept:agriculturalproductcutintogeometricshape	agricultural product cut into geometric shape
concept:agriculturalproductgrowinginstateorprovince	agricultural product growing in state or province
concept:agriculturalproductgrowninlandscapefeatures	agricultural product grown in landscape features
concept:agriculturalproductincludingagriculturalproduct	agricultural product including agricultural product
concept:agriculturalproducttoattractinsect	agricultural product to attract insect
concept:airportincity	airport in city
concept:airportsuchasairport	airport such as airport
concept:amphibiansuchasamphibian	amphibian such as amphibian
concept:animaldevelopdisease	animal develop disease
concept:animaleatfood	animal eat food
concept:animaleatvegetable	animal eat vegetable
concept:animalpreyson	animal preys on
concept:animalssuchasmammals	animals such as mammals
concept:animalsuchasfish	animal such as fish
concept:animalsuchasinsect	animal such as insect
concept:animalsuchasinvertebrate	animal such as invertebrate
concept:animalsuchasmollusk	animal such as mollusk
concept:animalthatfeedoninsect	animal that feed on insect
concept:animaltypehasanimal	animal type has animal
concept:aquariumssuchasaquariums	aquariums such as aquariums
concept:arachnidiseatenbybird	arachnid is eaten by bird
concept:arachnidssuchasarachnids	arachnids such as arachnids
concept:archaeasuchasarchaea	archaea such as archaea
concept:architectssuchasarchitects	architects such as architects
concept:arteriessuchasarteries	arteries such as arteries
concept:arteryarisesfromartery	artery arises from artery
concept:arthropodandotherarthropod	arthropod and other arthropod
concept:arthropodlookslikeinsect	arthropod looks like insect
concept:arthropodsuchascrustacean	arthropod such as crustacean
concept:astronautssuchasaustronauts	astronauts such as austr on a uts
concept:astronautwasonamissionwithastronaut	astronaut was on a mission with astronaut
concept:athletealsoknownas	athlete also known as
concept:athletebeatathlete	athlete beat athlete
concept:athletecoach	athlete coach
concept:athletefracturedbone	athlete fractured bone
concept:athletehomestadium	athlete home stadium
concept:athleteinjuredhisbodypart	athlete injured his body part
concept:athleteledsportsteam	athlete led sports team
concept:athleteplayedforschool	athlete played for school
concept:athletepublishesinblog	athlete publishes in blog
concept:athletessuchasathletes	athletes such as athletes
concept:athletewinsawardtrophytournament	athlete wins award trophy tournament
concept:attractionmadeofbuildingmaterial	attraction made of building material
concept:automobileenginesuchasautomobileengine	automobile engine such as automobile engine
concept:automobilemakercardealersinstateorprovince	automobile maker car dealers in state or province
concept:automobilemakerchiefexecutiveceo	automobile maker chief executive ceo
concept:automobilemakerdealersincity	automobile maker dealers in city
concept:automobilemakerdealersincountry	automobile maker dealers in country
concept:awardtrophytournamentisthechampionshipgameofthenationalsport	award trophy tournament is the championship game of the national sport
concept:awardtrophytournamentwasawardedonstadium	award trophy tournament was awarded on stadium
concept:bacteriacancauseillnessfromfood	bacteria can cause illness from food
concept:bacteriaisthecausativeagentofphysiologicalcondition	bacteria is the causative agent of physiological condition
concept:bakedgoodservedwithbeverage	baked good served with beverage
concept:bakegoodistypicalincountry	bake good is typical in country
concept:bankbankincountry	bank bank in country
concept:bankboughtbank	bank bought bank
concept:bankchiefexecutiveceo	bank chief executive ceo
concept:beveragecansoftendisease	beverage can soften disease
concept:beveragecontainsprotein	beverage contains protein
concept:birdmayconsumeprotein	bird may consume protein
concept:bodypartcontainsmuscle	body part contains muscle
concept:bodypartwithinbodypart	body part within body part
concept:booksuchasbook	book such as book
concept:bookwriter	book writer
concept:brotherof	brother of
concept:buildingfeaturebuiltabovelake	building feature built above lake
concept:buildingfeaturemadefrombuildingmaterial	building feature made from building material
concept:buildingispartofuniversity	building is part of university
concept:celebritysuchascelebrity	celebrity such as celebrity
concept:ceoof	ceo of
concept:chemicaltypehaschemical	chemical type has chemical
concept:cityalsoknownas	city also known as
concept:cityaquariums	city aquariums
concept:cityattractions	city attractions
concept:citycontainsbuilding	city contains building
concept:cityhotels	city hotels
concept:citylanguage	city language
concept:cityliesonriver	city lies on river
concept:citymuseums	city museums
concept:citynewspaper	city newspaper
concept:cityoforganizationheadquarters	city of organization headquarters
concept:cityparks	city parks
concept:cityradiostation	city radio station
concept:cityresidenceofperson	city residence of person
concept:cityrestaurants	city restaurants
concept:citytelevisionstation	city television station
concept:cityzoos	city zoos
concept:clothingmadefromplant	clothing made from plant
concept:clothingtogowithclothing	clothing to go with clothing
concept:clothmadeofplant	cloth made of plant
concept:coachalsoknownas	coach also known as
concept:coachcanspeaklanguage	coach can speak language
concept:coachstudiedatuniversity	coach studied at university
concept:coachwontrophy	coach won trophy
concept:coachworksincountry	coachworks in country
